username,player_id,is_nice
a_lielvalodis,71293248,1
aliboron,17996752,1
baldazar,2358108,1
beryslav-kyiv,42940782,1
blob1963,21928262,1
buttonc,1377970,1
cachareria25,128542618,1
carlusmaghsen,148718141,0
chessfriend51,29991450,0
chesshomem,5265686,1
commando-poppins,7518652,1
edirga,26101566,0
fredduaine,2212966,1
hot9cups,34818988,0
ims666,89147062,0
kwikclaude,1472262,0
liencam2,598001,1
marengo2015,21312214,1
micifuz,31264722,0
mrorsome,79833036,0
quiddity,5878595,0
rachel58,4746522,1
rigelianoid,190472149,0
tazmanick,17516000,1
the_power_in_me,1368996,0
tio_dean,45903904,1
vahi74,50262012,0
zibi970,49508374,1
zzarkis,1929127,0
