ahphoey,30278968,1658063294
alphabiero,47368904,1500000000
anita76,32981248,1500000000
antreni,11141902,1381858289
aquajewel,64509804,1500000000
artemchamp76,73244538,1606979809
baduk_player,103110642,1500000000
barca4life06,133719152,1648485445
beachstud,9412894,1500000000
blagokos,18408846,1500000000
bojanptkc,91961090,1653830595
braamsa,37308188,1652470507
brustring,23980810,1500000000
bukinistoleg1968,55788882,1500000000
carpe_noctum,39371060,1500000000
carryhandleman,56873988,1500000000
chavezo,2311052,1652509633
chesswizard2010,33538247,1525388301
cputech,21499200,1500000000
croftangry20,88470744,1646348113
czechmedved,162675419,1656706762
da3dalos,10388370,1500000000
dchapman196,98843430,1651795912
derbest1,120582306,1500000000
dnrw9,4870045,1500000000
do_the_dab,67252266,1500000000
donnywithad,92716044,1651903225
doug7653,23443812,1441121653
drright,2426335,1500000000
drzaiuss,48059340,1652635944
duviel84,49019126,1500000000
earlpsyches,78142694,1500000000
equaliser769,2616694,1500000000
erebosnyx,120821230,1500000000
fazer180,28979332,1500000000
francisgu,109346452,1500000000
gecse,30970620,1500000000
gendamon,94669916,1500000000
ghostwiz,152780477,1500000000
gibson2,29683674,1500000000
gm_hikoru,182221745,1652078148
goronwy50,2462492,1500000000
graeme1982,64031138,1650922993
greenpawn16,83581018,1500000000
groundhog-day,33397757,1500000000
hornpipe,6594928,1500000000
ilavarsanilavarasan,30967364,1648029449
iliemarginean,40228784,1644360239
jamol3852,79190218,1500000000
jaswant_s,155875279,1654847485
joeparnell,34210064,1500000000
john_warren,1774577,1500000000
johnclapson,37342226,1500000000
jonboi197501,87394936,1650799113
joshrizzle,14200146,1500000000
jotecamo,74180764,1604453788
justanormalchess1,139003520,1500000000
killerinstinct33,143530311,1657471653
lamont2000,16844866,1500000000
lanceval,86702020,1651324882
latecafe,53023252,1500000000
lazarus599,126489620,1500000000
leercb,33279755,1500000000
leestrapp,12871260,1500000000
lefleurdeny,119321502,1500000000
lord_edmund,166902511,1650998824
madanselili,129975070,1500000000
martinkojo,104293614,1500000000
martinsketchley,360531,1500000000
mdoug,5898079,1500000000
mentalhurricane,109084240,1653647978
mgplott7,7355007,1500000000
mickyblue13,6470746,1500000000
musicplayer99,92451886,1500000000
myallr,24892742,1500000000
mybishop1,86390648,1500000000
naimjabed,156604241,1500000000
nannorijnders,16115298,1500000000
neelsskaak1,18821234,1500000000
ninifu,4130193,1653390462
orank1234,155904515,1655070047
oscarpetherick,20555636,1654510148
palmeros48,37458160,1500000000
pathfinder64,34518192,1653150573
phantom73,176126475,1500000000
pod5ta,16408964,1500000000
prakash167,35774942,1527174332
ranive,81863910,1500000000
reledger,171099217,1653327242
relish_138,2375653,1500000000
rohithafernando,120089468,1500000000
rubixbass,38721982,1500000000
sai2791,36737838,1500000000
salvini,8774812,1500000000
samildanach,1972891,1500000000
sartresghost,8193042,1654539188
sasa333,8940426,1656020661
sc2chess,6471152,1500000000
screengazer,111454922,1500000000
simi_1111,159403623,1651835770
sirwasimmuridke99,170822031,1652890610
soulbrother11,10029956,1500000000
stanjakill,4154737,1500000000
strim1,62958208,1654706924
strindle,21184914,1500000000
stugiv,45388644,1614697889
susanadualte,185802917,1655146396
tar-aragorn_xiv,141882013,1652551713
technoh,56504926,1500000000
tilbs11,67734002,1500000000
tyredchef,19201722,1500000000
ulisesplasencia,164565293,1647027595
vikingchucky,11744778,1655294246
vitor2908,114404764,1500000000
wibichess1211,105279602,1500000000
willowforest,10014040,1388944483
yaroslavvvvvv,41995264,1500000000
ytoong,2795601,1500000000
yupi997,167286537,1657253109
zinsx,30115248,1500000000
